time,T,H,L
22:48:52.686777,22.0,44.0,736.0
22:49:05.163301,22.3,44.0,736.0
22:49:17.633408,22.3,44.0,772.0
22:49:30.121187,22.4,44.0,694.0
22:49:42.587549,22.4,44.0,604.0
22:49:55.093563,22.5,43.0,608.0
22:50:07.575990,22.6,43.0,612.0
22:50:20.080508,22.6,43.0,611.0
22:50:32.430056,22.7,43.0,619.0
22:50:44.839616,22.7,43.0,606.0
22:50:57.177296,22.7,43.0,601.0
22:51:09.530427,22.8,43.0,600.0
22:51:21.911189,22.8,43.0,604.0
22:51:34.259561,22.9,43.0,606.0
22:51:46.653507,22.9,42.0,608.0
22:51:59.036359,22.9,42.0,608.0
22:52:11.465462,22.9,42.0,603.0
22:52:23.863024,22.9,42.0,597.0
22:52:36.217258,22.9,42.0,606.0
22:52:48.568153,22.9,42.0,608.0
22:53:00.923896,22.9,42.0,603.0
22:53:13.278743,23.0,42.0,606.0
22:53:25.617536,22.9,42.0,598.0
22:53:37.962236,23.0,42.0,598.0
22:53:50.341559,23.0,42.0,598.0
22:54:02.697539,23.0,42.0,605.0
22:54:15.083008,23.0,42.0,605.0
22:54:27.427768,23.0,42.0,610.0
22:54:39.816898,23.1,41.0,608.0
22:54:52.207827,23.0,41.0,607.0
22:55:04.558080,23.0,41.0,610.0
22:55:16.952576,23.1,41.0,610.0
22:55:29.334713,23.1,41.0,601.0
22:55:41.685543,23.1,41.0,609.0
22:55:54.066856,23.1,41.0,609.0
22:56:06.449573,23.1,41.0,600.0
22:56:18.837599,23.1,41.0,610.0
22:56:31.181561,23.1,41.0,601.0
22:56:43.533213,23.0,41.0,601.0
22:56:55.963977,23.1,41.0,603.0
22:57:08.313673,23.1,41.0,608.0
22:57:20.671679,23.1,41.0,611.0
22:57:33.049022,23.1,41.0,601.0
22:57:45.390410,23.1,41.0,601.0
22:57:57.730869,23.2,41.0,601.0
22:58:10.100465,23.1,41.0,601.0
22:58:22.489573,23.2,41.0,602.0
22:58:34.836290,23.2,41.0,598.0
22:58:47.179706,23.2,41.0,608.0
22:58:59.527835,23.2,41.0,602.0
22:59:11.880301,23.2,41.0,600.0
22:59:24.225175,23.2,41.0,610.0
22:59:36.573557,23.2,41.0,610.0
22:59:48.912418,23.2,41.0,608.0
23:00:01.297678,23.2,41.0,609.0
23:00:13.654695,23.2,41.0,604.0
23:00:25.997567,23.2,41.0,610.0
23:00:38.339772,23.2,41.0,606.0
23:00:50.697530,23.2,41.0,609.0
23:01:03.079438,23.3,41.0,607.0
23:01:15.468893,23.3,41.0,613.0
23:01:27.853557,23.2,41.0,604.0
23:01:40.245555,23.3,41.0,609.0
23:01:52.597120,23.2,41.0,606.0
23:02:04.982573,23.2,41.0,603.0
23:02:17.369505,23.3,41.0,607.0
23:02:29.711660,23.2,41.0,603.0
23:02:42.097580,23.2,41.0,611.0
23:02:54.493498,23.3,41.0,609.0
23:03:06.889200,23.3,41.0,605.0
23:03:19.282107,23.2,41.0,603.0
23:03:31.637385,23.2,41.0,610.0
23:03:43.987662,23.4,41.0,612.0
23:03:56.370939,23.3,41.0,602.0
23:04:08.713563,23.3,41.0,607.0
23:04:21.060924,23.4,41.0,603.0
23:04:33.402153,23.3,41.0,604.0
23:04:45.821805,23.4,41.0,614.0
23:04:58.167188,23.3,41.0,619.0
23:05:10.513756,23.3,41.0,608.0
23:05:22.901475,23.4,41.0,618.0
23:05:35.254766,23.4,41.0,610.0
23:05:47.615767,23.4,41.0,620.0
23:05:59.970834,23.4,41.0,617.0
23:06:12.352517,23.4,41.0,609.0
23:06:24.692025,23.4,41.0,618.0
23:06:37.027376,23.4,41.0,611.0
23:06:49.359602,23.4,41.0,613.0
