time,T,H,L
20:12:39.524241,22.9,33.0,1018.0
20:12:51.876013,23.0,33.0,1017.0
20:13:04.228630,23.0,33.0,1016.0
20:13:16.656026,22.9,33.0,1016.0
20:13:29.010864,23.0,33.0,1018.0
20:13:41.361605,23.0,33.0,1018.0
20:13:53.708035,22.9,33.0,1017.0
20:14:06.065337,22.9,33.0,1017.0
20:14:18.416601,23.0,33.0,1018.0
20:14:30.773659,23.0,33.0,1017.0
20:14:43.135319,22.8,33.0,1017.0
20:14:55.563986,22.9,33.0,1018.0
20:15:07.928017,23.0,33.0,1017.0
20:15:20.316029,22.9,33.0,1017.0
20:15:32.665256,22.9,33.0,1017.0
20:15:45.024937,22.9,33.0,1017.0
20:15:57.412670,22.9,33.0,1016.0
20:16:09.769324,22.9,33.0,1016.0
20:16:22.191834,22.9,33.0,1018.0
20:16:34.579004,22.8,33.0,1013.0
20:16:46.927951,22.9,33.0,1018.0
20:16:59.324733,22.9,33.0,1016.0
20:17:11.673245,22.9,33.0,1015.0
20:17:24.032026,22.9,33.0,1017.0
20:17:36.386321,22.9,33.0,1016.0
20:17:48.741286,22.9,33.0,1017.0
20:18:01.172011,22.9,33.0,1016.0
20:18:13.525574,23.0,33.0,1017.0
20:18:25.884015,22.9,33.0,1017.0
20:18:38.240171,22.9,33.0,1017.0
20:18:50.584895,22.9,33.0,1016.0
20:19:02.932021,23.0,34.0,1016.0
20:19:15.284514,22.9,34.0,1017.0
20:19:27.715162,22.9,34.0,1017.0
20:19:40.072219,22.9,34.0,1018.0
20:19:52.429021,23.0,34.0,1017.0
20:20:04.780434,22.9,34.0,1017.0
20:20:17.132031,23.0,34.0,1017.0
20:20:29.519293,23.0,34.0,1017.0
20:20:41.908595,22.9,34.0,1017.0
20:20:54.334828,23.0,34.0,1017.0
20:21:06.688319,23.1,34.0,1017.0
20:21:19.048728,23.0,34.0,1017.0
20:21:31.400857,22.9,34.0,1016.0
20:21:43.751198,23.1,34.0,1016.0
20:21:56.116032,23.0,34.0,1015.0
20:22:08.475601,23.0,34.0,1017.0
20:22:20.904363,23.0,34.0,1017.0
20:22:33.301682,23.0,34.0,1013.0
20:22:45.690701,23.0,34.0,1018.0
20:22:58.045029,23.0,34.0,1017.0
